Role,Wikidata identifier,Wikidata label,Wikidata type,UM identifier,UM label,UM type
dulcimer,http://www.wikidata.org/entity/Q341663,hakkebord,http://www.wikidata.org/entity/Q34379,,,
eenmansorkest,http://www.wikidata.org/entity/Q1304271,eenmansorkest,http://www.wikidata.org/entity/Q34379,,,
elektr.orgel,http://www.wikidata.org/entity/Q1327327,elektronisch orgel,http://www.wikidata.org/entity/Q34379,,,
elektrische bas,http://www.wikidata.org/entity/Q64166304,elektrische basgitaar,http://www.wikidata.org/entity/Q34379,,,
elektrische gitaar,http://www.wikidata.org/entity/Q78987,elektrische gitaar,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um846,Elektrische gitaar,https://data.muziekschatten.nl/som/Instrument
elektronica,http://www.wikidata.org/entity/Q1327500,elektronisch muziekinstrument,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um1683,Live elektronica,https://data.muziekschatten.nl/som/Instrument
erhu,http://www.wikidata.org/entity/Q726306,Erhu,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um959,Erhu,https://data.muziekschatten.nl/som/Instrument
eufonium,http://www.wikidata.org/entity/Q131168,tuba,http://www.wikidata.org/entity/Q34379,,,
fagot,http://www.wikidata.org/entity/Q159998,fagot,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um973,Fagot,https://data.muziekschatten.nl/som/Instrument
fagot barok,http://www.wikidata.org/entity/Q159998,fagot,http://www.wikidata.org/entity/Q34379,,,
fairlight computer,http://www.wikidata.org/entity/Q512222,Fairlight CMI,http://www.wikidata.org/entity/Q34379,,,
fender rhodes,http://www.wikidata.org/entity/Q743659,Rhodes,http://www.wikidata.org/entity/Q34379,,,
flageolet,http://www.wikidata.org/entity/Q1001877,flageolet,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um995,Flageolet,https://data.muziekschatten.nl/som/Instrument
fluit,http://www.wikidata.org/entity/Q11405,fluit,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um1007,Fluit,https://data.muziekschatten.nl/som/Instrument
fluit renaissance,http://www.wikidata.org/entity/Q11405,fluit,http://www.wikidata.org/entity/Q34379,,,
fortepiano,http://www.wikidata.org/entity/Q1521313,fortepiano,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um1031,Fortepiano,https://data.muziekschatten.nl/som/Instrument
gadulka,http://www.wikidata.org/entity/Q1078965,gdulka,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um1046,Gadulka,https://data.muziekschatten.nl/som/Instrument
gaita,http://www.wikidata.org/entity/Q2313828,gaita,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um1047,Gaita,https://data.muziekschatten.nl/som/Instrument
gamba,http://www.wikidata.org/entity/Q40125,viola da gamba,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um2980,Viole da gamba,https://data.muziekschatten.nl/som/Instrument
ghata,http://www.wikidata.org/entity/Q859091,ghatam,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um1091,Ghata,https://data.muziekschatten.nl/som/Instrument
gimbri,http://www.wikidata.org/entity/Q1431454,gimbri,http://www.wikidata.org/entity/Q34379,,,
gitaar,http://www.wikidata.org/entity/Q6607,gitaar,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um1105,Gitaar,https://data.muziekschatten.nl/som/Instrument
gitaar barok,http://www.wikidata.org/entity/Q6607,gitaar,http://www.wikidata.org/entity/Q34379,,,
gitaar renaissance,http://www.wikidata.org/entity/Q6607,gitaar,http://www.wikidata.org/entity/Q34379,,,
gitaar romantisch,http://www.wikidata.org/entity/Q2902353,Romantic guitar,http://www.wikidata.org/entity/Q34379,,,
gittern,http://www.wikidata.org/entity/Q516397,gittern,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um1113,Gittern,https://data.muziekschatten.nl/som/Instrument
glasharmonica,http://www.wikidata.org/entity/Q917571,glasharmonica,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um1115,Glasharmonica,https://data.muziekschatten.nl/som/Instrument
gong,http://www.wikidata.org/entity/Q208320,gong,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um1132,Gong,https://data.muziekschatten.nl/som/Instrument
guan,http://www.wikidata.org/entity/Q675382,guanzi,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um1156,Guan,https://data.muziekschatten.nl/som/Instrument
guembri,http://www.wikidata.org/entity/Q1431454,gimbri,http://www.wikidata.org/entity/Q34379,,,
hammondorgel,http://www.wikidata.org/entity/Q105891,Hammondorgel,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um1186,Hammondorgel,https://data.muziekschatten.nl/som/Instrument
harmonium,http://www.wikidata.org/entity/Q12460259,harmonium,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um1202,Harmonium,https://data.muziekschatten.nl/som/Instrument
harp,http://www.wikidata.org/entity/Q47369,harp,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um1206,Harp,https://data.muziekschatten.nl/som/Instrument
harp barok,http://www.wikidata.org/entity/Q47369,harp,http://www.wikidata.org/entity/Q34379,,,
harp middeleeuwen,http://www.wikidata.org/entity/Q104869689,Medieval harp,http://www.wikidata.org/entity/Q34379,,,
heckelfoon,http://www.wikidata.org/entity/Q1571002,Heckelfoon,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um1223,Heckelfoon,https://data.muziekschatten.nl/som/Instrument
hobo,http://www.wikidata.org/entity/Q8377,hobo,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um1240,Hobo,https://data.muziekschatten.nl/som/Instrument
hobo barok,http://www.wikidata.org/entity/Q8377,hobo,http://www.wikidata.org/entity/Q34379,,,
hoorn,http://www.wikidata.org/entity/Q163759,hoorn,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um1253,Hoorn,https://data.muziekschatten.nl/som/Instrument
hulusi,http://www.wikidata.org/entity/Q1478007,hulusi,http://www.wikidata.org/entity/Q34379,,,
imzad,http://www.wikidata.org/entity/Q389949,imzad,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um1313,Imzad,https://data.muziekschatten.nl/som/Instrument
instruments,http://www.wikidata.org/entity/Q34379,muziekinstrument,http://www.wikidata.org/entity/Q34379,,,
kabinetorgel,http://www.wikidata.org/entity/Q2371434,Kabinetorgel,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um1356,Kabinetorgel,https://data.muziekschatten.nl/som/Instrument
kabosa,http://www.wikidata.org/entity/Q2895785,Kabosy,http://www.wikidata.org/entity/Q34379,,,
kabosy,http://www.wikidata.org/entity/Q2895785,Kabosy,http://www.wikidata.org/entity/Q34379,,,
kalebas,http://www.wikidata.org/entity/Q978694,Calabash,http://www.wikidata.org/entity/Q34379,,,
kalimba,http://www.wikidata.org/entity/Q1467960,Duimpiano,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um801,Duimpiano,https://data.muziekschatten.nl/som/Instrument
kamanche,http://www.wikidata.org/entity/Q290951,kamancheh,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um1387,Kamanche,https://data.muziekschatten.nl/som/Instrument
kamancheh,http://www.wikidata.org/entity/Q290951,kamancheh,http://www.wikidata.org/entity/Q34379,,,
kanjira,http://www.wikidata.org/entity/Q7997355,Kanjira,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um1397,Kanjira,https://data.muziekschatten.nl/som/Instrument
karnal,http://www.wikidata.org/entity/Q19671148,karnal,http://www.wikidata.org/entity/Q34379,,,
kaval,http://www.wikidata.org/entity/Q178374,kaval,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um1421,Kaval,https://data.muziekschatten.nl/som/Instrument
kayamb,http://www.wikidata.org/entity/Q497224,Kayamb,http://www.wikidata.org/entity/Q34379,,,
kemence,http://www.wikidata.org/entity/Q10969818,Kemençhe,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um1435,KemenÃ§e,https://data.muziekschatten.nl/som/Instrument
kerkklokken,http://www.wikidata.org/entity/Q3500690,kerkklok,http://www.wikidata.org/entity/Q34379,,,
keyboard,http://www.wikidata.org/entity/Q1343007,keyboard,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um848,Elektrische piano,https://data.muziekschatten.nl/som/Instrument
keyboards,http://www.wikidata.org/entity/Q1343007,keyboard,http://www.wikidata.org/entity/Q34379,,,
kistorgel,http://www.wikidata.org/entity/Q18088112,Kistorgel,http://www.wikidata.org/entity/Q34379,,,
klarinet,http://www.wikidata.org/entity/Q8343,klarinet,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um1510,Klarinet,https://data.muziekschatten.nl/som/Instrument
klarinet elektr.,http://www.wikidata.org/entity/Q8343,klarinet,http://www.wikidata.org/entity/Q34379,,,
klavecimbel,http://www.wikidata.org/entity/Q81982,klavecimbel,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um1523,Klavecimbel,https://data.muziekschatten.nl/som/Instrument
kleine harp,http://www.wikidata.org/entity/Q47369,harp,http://www.wikidata.org/entity/Q34379,,,
kleine trom,http://www.wikidata.org/entity/Q208421,kleine trom,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um1535,Kleine trom,https://data.muziekschatten.nl/som/Instrument
klokkenspel,http://www.wikidata.org/entity/Q626035,glockenspiel,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um1119,Glockenspiel,https://data.muziekschatten.nl/som/Instrument
koororgel,http://www.wikidata.org/entity/Q7315415,koororgel,http://www.wikidata.org/entity/Q34379,,,
kora,http://www.wikidata.org/entity/Q585969,kora,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um1577,Kora,https://data.muziekschatten.nl/som/Instrument
koto,http://www.wikidata.org/entity/Q289037,koto,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um1586,Koto,https://data.muziekschatten.nl/som/Instrument
kouxian,http://www.wikidata.org/entity/Q6434803,kouxian,http://www.wikidata.org/entity/Q34379,,,
kromhoorn,http://www.wikidata.org/entity/Q930367,kromhoorn,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um1599,Kromhoorn,https://data.muziekschatten.nl/som/Instrument
kudum,http://www.wikidata.org/entity/Q6441836,Kudüm,http://www.wikidata.org/entity/Q34379,,,
kunstfluiten,http://www.wikidata.org/entity/Q1792566,kunstfluiter,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um1622,Kunstfluiten,https://data.muziekschatten.nl/som/Instrument
kunstfluiter,http://www.wikidata.org/entity/Q1792566,kunstfluiter,http://www.wikidata.org/entity/Q34379,,,
lead gitaar,http://www.wikidata.org/entity/Q61046048,leadgitaar,http://www.wikidata.org/entity/Q34379,,,
lier,http://www.wikidata.org/entity/Q201129,lier,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um1665,Lier,https://data.muziekschatten.nl/som/Instrument
long string instrument,http://www.wikidata.org/entity/Q6673527,Long string instrument,http://www.wikidata.org/entity/Q34379,,,
luit,http://www.wikidata.org/entity/Q180733,luit,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um1700,Luit,https://data.muziekschatten.nl/som/Instrument
luit barok,http://www.wikidata.org/entity/Q180733,luit,http://www.wikidata.org/entity/Q34379,,,
luit renaissance,http://www.wikidata.org/entity/Q180733,luit,http://www.wikidata.org/entity/Q34379,,,
lutheal,http://www.wikidata.org/entity/Q450578,luthéal,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um1723,Lutheal,https://data.muziekschatten.nl/som/Instrument
lyra,http://www.wikidata.org/entity/Q500568,Lyra,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um1724,Lyra,https://data.muziekschatten.nl/som/Instrument
lyra viol,http://www.wikidata.org/entity/Q3560362,lyra viol,http://www.wikidata.org/entity/Q34379,,,
mandoline,http://www.wikidata.org/entity/Q302497,mandoline,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um1752,Mandoline,https://data.muziekschatten.nl/som/Instrument
maracas,http://www.wikidata.org/entity/Q39777,maracas,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um1771,Maracas,https://data.muziekschatten.nl/som/Instrument
marimba,http://www.wikidata.org/entity/Q220971,marimba,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um1772,Marimba,https://data.muziekschatten.nl/som/Instrument
mbira,http://www.wikidata.org/entity/Q1467960,Duimpiano,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um801,Duimpiano,https://data.muziekschatten.nl/som/Instrument
melodica,http://www.wikidata.org/entity/Q512191,melodica,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um1819,Melodica,https://data.muziekschatten.nl/som/Instrument
metronomen,http://www.wikidata.org/entity/Q156424,metronoom,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um1832,Metronomen,https://data.muziekschatten.nl/som/Instrument
mohan veena,http://www.wikidata.org/entity/Q6893623,Mohan veena,http://www.wikidata.org/entity/Q34379,,,
molo,http://www.wikidata.org/entity/Q118898940,Molo,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um1869,Molo,https://data.muziekschatten.nl/som/Instrument
mondharmonica,http://www.wikidata.org/entity/Q51290,mondharmonica,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um1872,Mondharmonica,https://data.muziekschatten.nl/som/Instrument
mondharp,http://www.wikidata.org/entity/Q185003,mondharp,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um1878,Mondharp,https://data.muziekschatten.nl/som/Instrument
mrdanga,http://www.wikidata.org/entity/Q744831,Mridangam,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um1470,Khol,https://data.muziekschatten.nl/som/Instrument
nagara,http://www.wikidata.org/entity/Q2510552,nagara,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um1919,Nagara,https://data.muziekschatten.nl/som/Instrument
nagasvaram,http://www.wikidata.org/entity/Q1611652,Nadaswaram,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um1920,Nagasvaram,https://data.muziekschatten.nl/som/Instrument
natuurhoorn,http://www.wikidata.org/entity/Q1757829,natuurhoorn,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um1937,Natuurhoorn,https://data.muziekschatten.nl/som/Instrument
nay,http://www.wikidata.org/entity/Q743836,ney,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um1940,Nay,https://data.muziekschatten.nl/som/Instrument
ngoni,http://www.wikidata.org/entity/Q1703491,ngoni,http://www.wikidata.org/entity/Q34379,,,
oboe d'amore,http://www.wikidata.org/entity/Q8380,oboe d'amore,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um2001,Oboe d'amore,https://data.muziekschatten.nl/som/Instrument
oboe da caccia,http://www.wikidata.org/entity/Q1760274,jachthobo,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um1999,Oboe da caccia,https://data.muziekschatten.nl/som/Instrument
ondes martenot,http://www.wikidata.org/entity/Q862501,Ondes-Martenot,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um2023,Ondes martenot,https://data.muziekschatten.nl/som/Instrument
orgel,http://www.wikidata.org/entity/Q1444,orgel,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um2042,Orgel,https://data.muziekschatten.nl/som/Instrument
orgelpositief,http://www.wikidata.org/entity/Q1930186,positief,http://www.wikidata.org/entity/Q34379,,,
oud,http://www.wikidata.org/entity/Q191000,oed,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um2014,Oed,https://data.muziekschatten.nl/som/Instrument
pakhawaj,http://www.wikidata.org/entity/Q2046658,Pakhavaj,http://www.wikidata.org/entity/Q34379,,,
panfluit,http://www.wikidata.org/entity/Q218802,panfluit,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um2080,Panfluit,https://data.muziekschatten.nl/som/Instrument
pansfluit,http://www.wikidata.org/entity/Q218802,panfluit,http://www.wikidata.org/entity/Q34379,,,
pauken,http://www.wikidata.org/entity/Q189737,pauk,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um2101,Pauken (set),https://data.muziekschatten.nl/som/Instrument
perc,http://www.wikidata.org/entity/Q1661583,percussie,http://www.wikidata.org/entity/Q34379,,,
percussie,http://www.wikidata.org/entity/Q1661583,percussie,http://www.wikidata.org/entity/Q34379,,,
percussion,http://www.wikidata.org/entity/Q1661583,percussie,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um2460,Slagwerk,https://data.muziekschatten.nl/som/Instrument
piano,http://www.wikidata.org/entity/Q5994,piano,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um2127,Piano,https://data.muziekschatten.nl/som/Instrument
piano elektr.,http://www.wikidata.org/entity/Q3503387,electronic piano,http://www.wikidata.org/entity/Q34379,,,
piano geprepareerd,http://www.wikidata.org/entity/Q754186,geprepareerde piano,http://www.wikidata.org/entity/Q34379,,,
pianoforte,http://www.wikidata.org/entity/Q1521313,fortepiano,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um1031,Fortepiano,https://data.muziekschatten.nl/som/Instrument
pianola,http://www.wikidata.org/entity/Q593995,pianola,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um2137,Pianola,https://data.muziekschatten.nl/som/Instrument
piccolo,http://www.wikidata.org/entity/Q83509,piccolo,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um2147,Piccolo,https://data.muziekschatten.nl/som/Instrument
piccolo-cello,http://www.wikidata.org/entity/Q836224,Violoncello piccolo,http://www.wikidata.org/entity/Q34379,,,
piccolotrompet,http://www.wikidata.org/entity/Q1569742,piccolo trumpet,http://www.wikidata.org/entity/Q34379,,,
pipa,http://www.wikidata.org/entity/Q6685124,pipa,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um2166,Pipa,https://data.muziekschatten.nl/som/Instrument
portatief,http://www.wikidata.org/entity/Q1806700,portatief,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um2187,Portatief,https://data.muziekschatten.nl/som/Instrument
portugese gitaar,http://www.wikidata.org/entity/Q585289,Portugese gitaar,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um2188,Portugese gitaar,https://data.muziekschatten.nl/som/Instrument
posthoorn,http://www.wikidata.org/entity/Q996531,posthoorn,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um2190,Posthoorn,https://data.muziekschatten.nl/som/Instrument
qin,http://www.wikidata.org/entity/Q723720,guqin,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um2216,Qin,https://data.muziekschatten.nl/som/Instrument
rabab,http://www.wikidata.org/entity/Q1640934,rubab,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um2230,Rabab,https://data.muziekschatten.nl/som/Instrument
ratel,http://www.wikidata.org/entity/Q954753,ratel,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um2243,Ratel,https://data.muziekschatten.nl/som/Instrument
regaal,http://www.wikidata.org/entity/Q930827,regaal,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um2251,Regaal,https://data.muziekschatten.nl/som/Instrument
reyong,http://www.wikidata.org/entity/Q6415141,Reyong,http://www.wikidata.org/entity/Q34379,,,
rommelpot,http://www.wikidata.org/entity/Q9097454,rommelpot,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um2273,Rommelpot,https://data.muziekschatten.nl/som/Instrument
sahnai,http://www.wikidata.org/entity/Q847911,shehnai,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um2289,Sahnai,https://data.muziekschatten.nl/som/Instrument
sampler,http://www.wikidata.org/entity/Q320002,sampler,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um2305,Sampler,https://data.muziekschatten.nl/som/Instrument
santur,http://www.wikidata.org/entity/Q2912399,santoor,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um2319,Santur,https://data.muziekschatten.nl/som/Instrument
sarangi,http://www.wikidata.org/entity/Q608650,sarangi,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um2325,Sarangi,https://data.muziekschatten.nl/som/Instrument
sarod,http://www.wikidata.org/entity/Q687406,sarod,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um2330,Sarod,https://data.muziekschatten.nl/som/Instrument
saxofoon,http://www.wikidata.org/entity/Q9798,saxofoon,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um2346,Saxofoon - familie,https://data.muziekschatten.nl/som/Instrument
saxofoon alt,http://www.wikidata.org/entity/Q445275,altsaxofoon,http://www.wikidata.org/entity/Q34379,,,
saxofoon bariton,http://www.wikidata.org/entity/Q808218,baritonsaxofoon,http://www.wikidata.org/entity/Q34379,,,
saxofoon bas,http://www.wikidata.org/entity/Q810551,bassaxofoon,http://www.wikidata.org/entity/Q34379,,,
saxofoon sopraan,http://www.wikidata.org/entity/Q1463985,sopraansaxofoon,http://www.wikidata.org/entity/Q34379,,,
saxofoon sopranino,http://www.wikidata.org/entity/Q656922,sopraninosaxofoon,http://www.wikidata.org/entity/Q34379,,,
saxofoon tenor,http://www.wikidata.org/entity/Q1414932,tenorsaxofoon,http://www.wikidata.org/entity/Q34379,,,
saz,http://www.wikidata.org/entity/Q717773,bağlama,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um2358,Saz,https://data.muziekschatten.nl/som/Instrument
schalmei,http://www.wikidata.org/entity/Q677921,schalmei,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um2360,Schalmei,https://data.muziekschatten.nl/som/Instrument
schelphoorn,http://www.wikidata.org/entity/Q2606377,schelphoorn,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um2366,Schelphoorn,https://data.muziekschatten.nl/som/Instrument
serinette,http://www.wikidata.org/entity/Q201654,Serinette,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um2390,Serinette,https://data.muziekschatten.nl/som/Instrument
serpent,http://www.wikidata.org/entity/Q742168,serpent,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um2392,Serpent,https://data.muziekschatten.nl/som/Instrument
sgra-snyan,http://www.wikidata.org/entity/Q1255766,Dramyen,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um2401,Sgra-snyan,https://data.muziekschatten.nl/som/Instrument
shakuhachi,http://www.wikidata.org/entity/Q524526,shakuhachi,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um2406,Shakuhachi,https://data.muziekschatten.nl/som/Instrument
sheng,http://www.wikidata.org/entity/Q849052,sheng,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um2414,Sheng,https://data.muziekschatten.nl/som/Instrument
shrutibox,http://www.wikidata.org/entity/Q487818,Shruti box,http://www.wikidata.org/entity/Q34379,,,
sitar,http://www.wikidata.org/entity/Q229205,sitar,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um2449,Sitar,https://data.muziekschatten.nl/som/Instrument
slagwerk,http://www.wikidata.org/entity/Q133163,slaginstrument,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um2460,Slagwerk,https://data.muziekschatten.nl/som/Instrument
slagwerk elektr.,http://www.wikidata.org/entity/Q133163,slaginstrument,http://www.wikidata.org/entity/Q34379,,,
sokou,http://www.wikidata.org/entity/Q3869301,njarka,http://www.wikidata.org/entity/Q34379,,,
song lang,http://www.wikidata.org/entity/Q7561115,Song loan,http://www.wikidata.org/entity/Q34379,,,
sopraansaxofoon,http://www.wikidata.org/entity/Q1463985,sopraansaxofoon,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um2544,Sopraansaxofoon,https://data.muziekschatten.nl/som/Instrument
soukou,http://www.wikidata.org/entity/Q3869301,njarka,http://www.wikidata.org/entity/Q34379,,,
sousafoon,http://www.wikidata.org/entity/Q499387,sousafoon,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um2569,Sousafoon,https://data.muziekschatten.nl/som/Instrument
speelgoed,http://www.wikidata.org/entity/Q11422,speelgoed,http://www.wikidata.org/entity/Q34379,,,
spinet,http://www.wikidata.org/entity/Q623941,spinet,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um2576,Spinet,https://data.muziekschatten.nl/som/Instrument
steel guitar,http://www.wikidata.org/entity/Q2617520,steel guitar,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um2594,Steelgitaar,https://data.muziekschatten.nl/som/Instrument
stemmen,http://www.wikidata.org/entity/Q17172850,stem,http://www.wikidata.org/entity/Q34379,,,
strijkers,http://www.wikidata.org/entity/Q192096,strijkinstrument,http://www.wikidata.org/entity/Q34379,,,
sur-na,http://www.wikidata.org/entity/Q825246,sorna,http://www.wikidata.org/entity/Q34379,,,
surbahar,http://www.wikidata.org/entity/Q980383,surbahar,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um2623,Surbahar,https://data.muziekschatten.nl/som/Instrument
surmandal,http://www.wikidata.org/entity/Q627110,Swarmandal,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um2626,Surmandal,https://data.muziekschatten.nl/som/Instrument
swaramandala,http://www.wikidata.org/entity/Q627110,Swarmandal,http://www.wikidata.org/entity/Q34379,,,
synthesizer,http://www.wikidata.org/entity/Q163829,synthesizer,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um2650,Synthesizer,https://data.muziekschatten.nl/som/Instrument
synths,http://www.wikidata.org/entity/Q163829,synthesizer,http://www.wikidata.org/entity/Q34379,,,
tabla,http://www.wikidata.org/entity/Q213100,tabla,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um2654,Tabla,https://data.muziekschatten.nl/som/Instrument
tabla tarang,http://www.wikidata.org/entity/Q2386534,tabla tarang,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um2655,Tabla tarang,https://data.muziekschatten.nl/som/Instrument
tama,http://www.wikidata.org/entity/Q1321104,tama,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um2672,Tama,https://data.muziekschatten.nl/som/Instrument
tamboeryn,http://www.wikidata.org/entity/Q193666,tamboerijn,http://www.wikidata.org/entity/Q34379,,,
tambura,http://www.wikidata.org/entity/Q508805,tambura,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um2685,Tambura,https://data.muziekschatten.nl/som/Instrument
tanbur,http://www.wikidata.org/entity/Q3424319,tanbur,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um2693,Tanbur,https://data.muziekschatten.nl/som/Instrument
tangentenvleugel,http://www.wikidata.org/entity/Q454862,tangent piano,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um2695,Tangentenvleugel,https://data.muziekschatten.nl/som/Instrument
