Role,Wikidata identifier,Wikidata label,Wikidata type,UM identifier,UM label,UM type
countryartiest,http://www.wikidata.org/entity/Q66763670,country musician,http://www.wikidata.org/entity/Q28640,,,
dans,http://www.wikidata.org/entity/Q11639,dans,,,,
dichter,http://www.wikidata.org/entity/Q49757,dichter,http://www.wikidata.org/entity/Q28640,,,
gespr.tekst,http://www.wikidata.org/entity/Q110374796,spoken text,,,,
handgeklap,http://www.wikidata.org/entity/Q1574776,klappen,,,,
jodelen,http://www.wikidata.org/entity/Q41923,jodelen,,,,
morele steun,http://www.wikidata.org/entity/Q16999179,Moral support,,,,
rap,http://www.wikidata.org/entity/Q1369991,toasting,,,,
rapping,http://www.wikidata.org/entity/Q6010,rap,,,,
sprechgesang,http://www.wikidata.org/entity/Q1500983,Spreekkoor,,,,
spreekrol,http://www.wikidata.org/entity/Q1312022,speaking role,,,,
spreekstem,http://www.wikidata.org/entity/Q106875005,speaker,,,,
spreker,http://www.wikidata.org/entity/Q106875005,speaker,,,,
stem,http://www.wikidata.org/entity/Q106875005,speaker,,,,
tekst,http://www.wikidata.org/entity/Q822146,liedtekstschrijver,,,,
verteller,http://www.wikidata.org/entity/Q755070,verteller,http://www.wikidata.org/entity/Q28640,,,
voordracht,http://www.wikidata.org/entity/Q23037330,declamator,,,,
zang,http://www.wikidata.org/entity/Q27939,zangkunst,,,,
band,http://www.wikidata.org/entity/Q215380,muziekgroep,http://www.wikidata.org/entity/Q105756498,https://data.muziekschatten.nl/som/um2185,Popgroep,https://data.muziekschatten.nl/som/Ensemble
gemengd koor,http://www.wikidata.org/entity/Q3276909,Gemengd koor,http://www.wikidata.org/entity/Q105756498,https://data.muziekschatten.nl/som/um4567,Gemengd koor,https://data.muziekschatten.nl/som/Ensemble
jeugdkoor,http://www.wikidata.org/entity/Q591250,youth choir,http://www.wikidata.org/entity/Q105756498,https://data.muziekschatten.nl/som/um1487,Kinderkoor,https://data.muziekschatten.nl/som/Ensemble
jongenskoor,http://www.wikidata.org/entity/Q1776834,knapenkoor,http://www.wikidata.org/entity/Q105756498,https://data.muziekschatten.nl/som/um1338,Jongenskoor,https://data.muziekschatten.nl/som/Ensemble
jongerenkoor,http://www.wikidata.org/entity/Q591250,youth choir,http://www.wikidata.org/entity/Q105756498,,,
